active,target_menu,target_plan,option_name,price_delta,selection_type,group_name,note,display_order
1,家族写真,,1時間追加,5000,checkbox,時間,撮影時間を1時間追加,10
1,家族写真,,動画撮影オプション お任せ,15000,checkbox,動画,写真と動画のセット価格。30秒〜1分に編集,20
1,家族写真,,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
1,家族写真,,台紙 3面（写真3枚）,15000,checkbox,アルバム,掲載写真はデータ納品後に選択,31
1,家族写真,,台紙 3面（写真6枚）,18000,checkbox,アルバム,掲載写真はデータ納品後に選択,32
1,家族写真,,A4アルバム 10P〜,35000,checkbox,アルバム,価格は内容により変動する場合あり,33
1,家族写真,,BOXフォトデータ,11000,checkbox,BOXフォト,撮影+BOXフォトデータ,40
1,家族写真,,BOXフォトデータ+パネル,16500,checkbox,BOXフォト,撮影+BOXフォトデータ+パネル,41
1,家族写真,,USBメモリ,3000,checkbox,納品,USBメモリでの納品,50
1,家族写真,,高山市外送料,1500,checkbox,送料,アルバム等のお届け時に別途送料,60
1,誕生日・入学式・卒業式,,1時間追加,5000,checkbox,時間,撮影時間を1時間追加,10
1,誕生日・入学式・卒業式,,動画撮影オプション お任せ,15000,checkbox,動画,写真と動画のセット価格。30秒〜1分に編集,20
1,誕生日・入学式・卒業式,,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
1,誕生日・入学式・卒業式,,台紙 3面（写真3枚）,15000,checkbox,アルバム,掲載写真はデータ納品後に選択,31
1,誕生日・入学式・卒業式,,台紙 3面（写真6枚）,18000,checkbox,アルバム,掲載写真はデータ納品後に選択,32
1,誕生日・入学式・卒業式,,A4アルバム 10P〜,35000,checkbox,アルバム,価格は内容により変動する場合あり,33
1,誕生日・入学式・卒業式,,BOXフォトデータ,11000,checkbox,BOXフォト,撮影+BOXフォトデータ,40
1,誕生日・入学式・卒業式,,BOXフォトデータ+パネル,16500,checkbox,BOXフォト,撮影+BOXフォトデータ+パネル,41
1,誕生日・入学式・卒業式,,USBメモリ,3000,checkbox,納品,USBメモリでの納品,50
1,誕生日・入学式・卒業式,,高山市外送料,1500,checkbox,送料,アルバム等のお届け時に別途送料,60
1,プロフィール写真,,1時間追加,5000,checkbox,時間,撮影時間を1時間追加,10
1,プロフィール写真,,動画撮影オプション お任せ,15000,checkbox,動画,写真と動画のセット価格。30秒〜1分に編集,20
1,プロフィール写真,,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
1,プロフィール写真,,台紙 3面（写真3枚）,15000,checkbox,アルバム,掲載写真はデータ納品後に選択,31
1,プロフィール写真,,台紙 3面（写真6枚）,18000,checkbox,アルバム,掲載写真はデータ納品後に選択,32
1,プロフィール写真,,A4アルバム 10P〜,35000,checkbox,アルバム,価格は内容により変動する場合あり,33
1,プロフィール写真,,USBメモリ,3000,checkbox,納品,USBメモリでの納品,50
1,プロフィール写真,,高山市外送料,1500,checkbox,送料,アルバム等のお届け時に別途送料,60
1,七五三,,動画撮影オプション お任せ,15000,checkbox,動画,写真と動画のセット価格。30秒〜1分に編集,20
1,七五三,,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
1,七五三,,台紙 3面（写真3枚）,15000,checkbox,アルバム,掲載写真はデータ納品後に選択,31
1,七五三,,台紙 3面（写真6枚）,18000,checkbox,アルバム,掲載写真はデータ納品後に選択,32
1,七五三,,A4アルバム 10P〜,35000,checkbox,アルバム,価格は内容により変動する場合あり,33
1,七五三,,USBメモリ,3000,checkbox,納品,USBメモリでの納品,50
1,七五三,,高山市外送料,1500,checkbox,送料,アルバム等のお届け時に別途送料,60
1,成人式,,動画撮影オプション お任せ,15000,checkbox,動画,写真と動画のセット価格。30秒〜1分に編集,20
1,成人式,,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
1,成人式,,台紙 3面（写真3枚）,15000,checkbox,アルバム,掲載写真はデータ納品後に選択,31
1,成人式,,台紙 3面（写真6枚）,18000,checkbox,アルバム,掲載写真はデータ納品後に選択,32
1,成人式,,A4アルバム 10P,35000,checkbox,アルバム,価格は内容により変動する場合あり,33
1,成人式,,A4アルバム 20P,40000,checkbox,アルバム,価格は内容により変動する場合あり,34
1,成人式,,USBメモリ,3000,checkbox,納品,USBメモリでの納品,50
1,成人式,,高山市外送料,1500,checkbox,送料,アルバム等のお届け時に別途送料,60
1,結婚式(前撮り),写真 1day,動画撮影オプション お任せ,30000,radio,動画オプション,写真と動画のセット,20
1,結婚式(前撮り),写真 1day,動画撮影オプション こだわり,50000,radio,動画オプション,写真と動画のセット,21
1,結婚式(前撮り),動画のみ 1本,動画撮影オプション こだわり,20000,checkbox,動画オプション,動画クオリティアップオプション,22
1,結婚式(前撮り),写真 1day,台紙 2面（写真2枚）,12000,checkbox,アルバム,掲載写真はデータ納品後に選択,30
